TreeN	Species	Family	DBH	LogDBH	Locality	Dataset	Genus
WP2B0474	Mastixiodendron.pachyclados	Rubiaceae	9.3	0.968482949	WP	1	Mastixiodendron
WP2B0475	Palaquium.morobense	Sapotaceae	7.8	0.892094603	WP	1	Palaquium
WP2B0479	Pimelodendron.amboinicum	Euphorbiaceae	24.4	1.387389826	WP	1	Pimelodendron
WP2B0480	Celtis.philippensis	Cannabaceae	33.6	1.526339277	WP	1	Celtis
WP2B0481	Mastixiodendron.pachyclados	Rubiaceae	5.1	0.707570176	WP	1	Mastixiodendron
WP2B0482	Chisocheton.trichocladus	Meliaceae	6.2	0.792391689	WP	1	Chisocheton
WP2B0483	Ganophyllum.falcatum	Sapindaceae	7.1	0.851258349	WP	1	Ganophyllum
WP2B0484	Chisocheton.ceramicus	Meliaceae	25.4	1.404833717	WP	1	Chisocheton
WP2B0485	Teijsmanniodendron.bogoriense	Lamiaceae	7.1	0.851258349	WP	1	Teijsmanniodendron
WP2B0486	Aglaia.lepiorrhachis	Meliaceae	16.8	1.225309282	WP	1	Aglaia
WP2B0487	Harpullia.longipetala	Sapindaceae	5.1	0.707570176	WP	1	Harpullia
WP2B0488	Celtis.latifolia	Cannabaceae	5.7	0.755874856	WP	1	Celtis
WP2B0489	Planchonella.sp.	Sapotaceae	7.4	0.86923172	WP	1	Planchonella
WP2B0490	Cryptocarya.massoy	Lauraceae	12	1.079181246	WP	1	Cryptocarya
WP2B0491	Pometia.pinnata	Sapindaceae	13.5	1.130333768	WP	1	Pometia
WP2B0492	Macaranga.punctata	Euphorbiaceae	8.1	0.908485019	WP	1	Macaranga
WP2B0493	Sterculia.ampla	Malvaceae	13.8	1.139879086	WP	1	Sterculia
WP2B0494	Litsea.timoriana	Lauraceae	11.4	1.056904851	WP	1	Litsea
WP2B0495	Neisosperma.citrodora	Apocynaceae	6.8	0.832508913	WP	1	Neisosperma
WP2B0496	Gymnacranthera.paniculata	Myristicaceae	6.1	0.785329835	WP	1	Gymnacranthera
WP2B0497	Horsfieldia.basifissa	Myristicaceae	8.4	0.924279286	WP	1	Horsfieldia
WP2B0498	Palaquium.morobense	Sapotaceae	9.6	0.982271233	WP	1	Palaquium
WP2B0499	Chisocheton.ceramicus	Meliaceae	22	1.342422681	WP	1	Chisocheton
WP2B0500	Canarium.oleosum	Burseraceae	11.1	1.045322979	WP	1	Canarium
WP2B0501	Canarium.acutifolium	Burseraceae	7.9	0.897627091	WP	1	Canarium
WP2B0502	Pterocymbium.beccarii	Malvaceae	10.7	1.029383778	WP	1	Pterocymbium
WP2B0503	Pometia.pinnata	Sapindaceae	38.2	1.582063363	WP	1	Pometia
WP2B0504	Ficus.hahliana	Moraceae	5.2	0.716003344	WP	1	Ficus
WP2B0505	Litsea.timoriana	Lauraceae	9	0.954242509	WP	1	Litsea
WP2B0506	Kingiodendron.novoguineense	Fabaceae	9.7	0.986771734	WP	1	Kingiodendron
WP2B0530	Ficus.hahliana	Moraceae	NA	NA	WP	1	Ficus
WP2B0534	Polyalthia.glauca	Annonaceae	40	1.602059991	WP	1	Polyalthia
WP2B0539	Horsfieldia.basifissa	Myristicaceae	11.2	1.049218023	WP	1	Horsfieldia
WP2B0540	Horsfieldia.basifissa	Myristicaceae	6.5	0.812913357	WP	1	Horsfieldia
WP2B0541	Pangium.edule	Achariaceae	31.5	1.498310554	WP	1	Pangium
WP2B0542	Mastixiodendron.pachyclados	Rubiaceae	9	0.954242509	WP	1	Mastixiodendron
WP2B0543	Erythrospermum.candidum	Salicaceae	6.5	0.812913357	WP	1	Erythrospermum
WP2B0544	Chisocheton.trichocladus	Meliaceae	16.4	1.214843848	WP	1	Chisocheton
WP2B0545	Litsea.timoriana	Lauraceae	NA	NA	WP	1	Litsea
WP2B0546	Tristiropsis.acutangula	Sapindaceae	NA	NA	WP	1	Tristiropsis
WP2B0547	Pouteria.obovata	Sapotaceae	11.7	1.068185862	WP	1	Pouteria
WP2B0548	Myristica.fatua	Myristicaceae	8.1	0.908485019	WP	1	Myristica
WP2B0549	Neonauclea.obversifolia	Rubiaceae	15.2	1.181843588	WP	1	Neonauclea
WP2B0550	Cryptocarya.mackinnoniana	Lauraceae	5.9	0.770852012	WP	1	Cryptocarya
WP2B1302	Cryptocarya.sp.	Lauraceae	5.2	0.716003344	WP	1	Cryptocarya
WP2B1303	Pometia.pinnata	Sapindaceae	7.4	0.86923172	WP	1	Pometia
WP2C0345	Terminalia.complanata	Combretaceae	14.6	1.164352856	WP	1	Terminalia
WP2C0346	Syzygium.longipes	Myrtaceae	5.8	0.763427994	WP	1	Syzygium
WP2C0347	Pometia.pinnata	Sapindaceae	10.8	1.033423755	WP	1	Pometia
WP2C0348	Prunus.schlechteri	Rosaceae	28.5	1.45484486	WP	1	Prunus
WP2C0349	Dracaena.angustifolia	Asparagaceae	9.1	0.959041392	WP	1	Dracaena
WP2C0350	SapindaceaeGen?.sp.	Sapindaceae	17.2	1.235528447	WP	1	SapindaceaeGen?
WP2C0383	Gnetum.gnemon	Gnetaceae	6.1	0.785329835	WP	1	Gnetum
WP2C0384	Gulubia.costata	Arecaceae	25.7	1.409933123	WP	1	Gulubia
WP2C0385	Horsfieldia.basifissa	Myristicaceae	9.5	0.977723605	WP	1	Horsfieldia
WP2C0386	Pometia.pinnata	Sapindaceae	46.2	1.664641976	WP	1	Pometia
WP2C0387	Teijsmanniodendron.bogoriense	Lamiaceae	9.9	0.995635195	WP	1	Teijsmanniodendron
WP2C0388	Aglaia.brassii	Meliaceae	6.9	0.838849091	WP	1	Aglaia
WP2C0389	Pometia.pinnata	Sapindaceae	12.1	1.08278537	WP	1	Pometia
WP2C0390	Pangium.edule	Achariaceae	7	0.84509804	WP	1	Pangium
WP2C0391	Decaspermum.sp.	Myrtaceae	11.9	1.075546961	WP	1	Decaspermum
WP2C0392	Chisocheton.cumingianus	Meliaceae	5.6	0.748188027	WP	1	Chisocheton
WP2C0393	Mastixiodendron.pachyclados	Rubiaceae	5.4	0.73239376	WP	1	Mastixiodendron
WP2C0394	Gymnacranthera.paniculata	Myristicaceae	15.1	1.178976947	WP	1	Gymnacranthera
WP2C0395	Elaeocarpus.amplifolius	Elaeocarpaceae	12.1	1.08278537	WP	1	Elaeocarpus
WP2C0396	Neuburgia.corynocarpa	Loganiaceae	7.8	0.892094603	WP	1	Neuburgia
WP2C0397	Harpullia.longipetala	Sapindaceae	7.6	0.880813592	WP	1	Harpullia
WP2C0398	Pouteria.sp.	Sapotaceae	NA	NA	WP	1	Pouteria
WP2C0399	Pangium.edule	Achariaceae	24.3	1.385606274	WP	1	Pangium
WP2C0400	Pandanus.kaernbachii	Pandanaceae	8.3	0.919078092	WP	1	Pandanus
WP2C0451	Gonocaryum.litorale	Icacinaceae	NA	NA	WP	1	Gonocaryum
WP2C0452	Dysoxylum.richardianum	Meliaceae	45.8	1.660865478	WP	1	Dysoxylum
WP2C0453	Terminalia.complanata	Combretaceae	19.4	1.28780173	WP	1	Terminalia
WP2C0454	Teijsmanniodendron.bogoriense	Lamiaceae	7.9	0.897627091	WP	1	Teijsmanniodendron
WP2C0455	Ficus.nodosa	Moraceae	12.7	1.103803721	WP	1	Ficus
WP2C0456	Xanthophyllum.papuanum	Polygalaceae	26.2	1.418301291	WP	1	Xanthophyllum
WP2C0457	Chisocheton.ceramicus	Meliaceae	15.5	1.190331698	WP	1	Chisocheton
WP2C0458	Pimelodendron.amboinicum	Euphorbiaceae	6.6	0.819543936	WP	1	Pimelodendron
WP2C0459	Croton.womersleyi	Euphorbiaceae	7.2	0.857332496	WP	1	Croton
WP2C0460	Horsfieldia.basifissa	Myristicaceae	5.9	0.770852012	WP	1	Horsfieldia
WP2C0461	Cryptocarya.multipaniculata	Lauraceae	10.7	1.029383778	WP	1	Cryptocarya
WP2C0462	Neonauclea.obversifolia	Rubiaceae	6.4	0.806179974	WP	1	Neonauclea
WP2C0463	Gnetum.gnemon	Gnetaceae	9.7	0.986771734	WP	1	Gnetum
WP2C0464	Pometia.pinnata	Sapindaceae	10.4	1.017033339	WP	1	Pometia
WP2C0465	Harpullia.longipetala	Sapindaceae	6.6	0.819543936	WP	1	Harpullia
WP2C0466	Ganophyllum.falcatum	Sapindaceae	8.5	0.929418926	WP	1	Ganophyllum
WP2C0467	Elaeocarpus.amplifolius	Elaeocarpaceae	6.2	0.792391689	WP	1	Elaeocarpus
WP2C0468	Macaranga.tanarius	Euphorbiaceae	34.6	1.539076099	WP	1	Macaranga
WP2C0469	Horsfieldia.basifissa	Myristicaceae	12.3	1.089905111	WP	1	Horsfieldia
WP2C0470	Microcos.argentata	Malvaceae	5	0.698970004	WP	1	Microcos
WP2C0471	Pouteria.obovata	Sapotaceae	6.2	0.792391689	WP	1	Pouteria
WP2C0472	Gnetum.gnemon	Gnetaceae	9.3	0.968482949	WP	1	Gnetum
WP2C0473	Antidesma.oliverianum	Phyllanthaceae	6.6	0.819543936	WP	1	Antidesma
WP2C0476	Prainea.papuana	Moraceae	12.5	1.096910013	WP	1	Prainea
WP2C0477	Pimelodendron.amboinicum	Euphorbiaceae	13.4	1.127104798	WP	1	Pimelodendron
WP2C0478	Xanthophyllum.papuanum	Polygalaceae	6.9	0.838849091	WP	1	Xanthophyllum
WP2D0300	Gymnacranthera.paniculata	Myristicaceae	NA	NA	WP	1	Gymnacranthera
WP2D0327	Chisocheton.cumingianus	Meliaceae	35	1.544068044	WP	1	Chisocheton
WP2D0328	Litsea.timoriana	Lauraceae	10.3	1.012837225	WP	1	Litsea
WP2D0329	Palaquium.morobense	Sapotaceae	10.4	1.017033339	WP	1	Palaquium
WP2D0330	Horsfieldia.basifissa	Myristicaceae	8.2	0.913813852	WP	1	Horsfieldia
WP2D0331	Horsfieldia.basifissa	Myristicaceae	16.9	1.227886705	WP	1	Horsfieldia
WP2D0332	Ficus.trachypison	Moraceae	6	0.77815125	WP	1	Ficus
WP2D0333	Horsfieldia.basifissa	Myristicaceae	9.1	0.959041392	WP	1	Horsfieldia
WP2D0334	Pometia.pinnata	Sapindaceae	31.1	1.492760389	WP	1	Pometia
WP2D0335	Mastixiodendron.pachyclados	Rubiaceae	5.3	0.72427587	WP	1	Mastixiodendron
WP2D0336	Maclura.amboinensis	Moraceae	6.5	0.812913357	WP	1	Maclura
WP2D0337	Teijsmanniodendron.bogoriense	Lamiaceae	5.8	0.763427994	WP	1	Teijsmanniodendron
WP2D0338	Chisocheton.formicarum	Meliaceae	22	1.342422681	WP	1	Chisocheton
WP2D0339	Sterculia.ampla	Malvaceae	11.4	1.056904851	WP	1	Sterculia
WP2D0340	Uncaria.appendiculata	Rubiaceae	9.2	0.963787827	WP	1	Uncaria
WP2D0341	Gymnacranthera.paniculata	Myristicaceae	9	0.954242509	WP	1	Gymnacranthera
WP2D0342	Teijsmanniodendron.bogoriense	Lamiaceae	8.6	0.934498451	WP	1	Teijsmanniodendron
WP2D0343	Gnetum.gnemon	Gnetaceae	7.1	0.851258349	WP	1	Gnetum
WP2D0344	Celtis.latifolia	Cannabaceae	11.4	1.056904851	WP	1	Celtis
WP2D0351	Litsea.timoriana	Lauraceae	8.1	0.908485019	WP	1	Litsea
WP2D0352	Palaquium.morobense	Sapotaceae	13.3	1.123851641	WP	1	Palaquium
WP2D0353	Teijsmanniodendron.bogoriense	Lamiaceae	6.5	0.812913357	WP	1	Teijsmanniodendron
WP2D0354	Pometia.pinnata	Sapindaceae	23	1.361727836	WP	1	Pometia
WP2D0355	Gymnacranthera.paniculata	Myristicaceae	5.8	0.763427994	WP	1	Gymnacranthera
WP2D0356	Intsia.bijuga	Fabaceae	17.4	1.240549248	WP	1	Intsia
WP2D0357	Pisonia.longirostris	Nyctaginaceae	8.6	0.934498451	WP	1	Pisonia
WP2D0358	Guioa.comesperma	Sapindaceae	5.1	0.707570176	WP	1	Guioa
WP2D0359	Drypetes.lasiogynoides	Putranjivaceae	9.8	0.991226076	WP	1	Drypetes
WP2D0360	Horsfieldia.basifissa	Myristicaceae	15.6	1.193124598	WP	1	Horsfieldia
WP2D0361	Syzygium.longipes	Myrtaceae	6.4	0.806179974	WP	1	Syzygium
WP2D0362	Cryptocarya.sp.	Lauraceae	9	0.954242509	WP	1	Cryptocarya
WP2D0363	Pometia.pinnata	Sapindaceae	50	1.698970004	WP	1	Pometia
WP2D0364	Pimelodendron.amboinicum	Euphorbiaceae	14.2	1.152288344	WP	1	Pimelodendron
WP2D0365	Gnetum.gnemonoides	Gnetaceae	13	1.113943352	WP	1	Gnetum
WP2D0366	Horsfieldia.basifissa	Myristicaceae	5.3	0.72427587	WP	1	Horsfieldia
WP2D0367	Horsfieldia.basifissa	Myristicaceae	6.6	0.819543936	WP	1	Horsfieldia
WP2D0368	Uncaria.appendiculata	Rubiaceae	6.4	0.806179974	WP	1	Uncaria
WP2D0369	Microcos.argentata	Malvaceae	34.8	1.541579244	WP	1	Microcos
WP2D0370	Aglaia.cucullata	Meliaceae	10.2	1.008600172	WP	1	Aglaia
WP2D0371	Horsfieldia.basifissa	Myristicaceae	21.5	1.33243846	WP	1	Horsfieldia
WP2D0372	Aglaia.brassii	Meliaceae	15.7	1.195899652	WP	1	Aglaia
WP2D0373	Hibiscus.papuodendron	Malvaceae	25.6	1.408239965	WP	1	Hibiscus
WP2D0374	Strychnos.minor	Loganiaceae	9	0.954242509	WP	1	Strychnos
WP2D0375	Litsea.timoriana	Lauraceae	8	0.903089987	WP	1	Litsea
WP2D0376	Cryptocarya.depressa	Lauraceae	15.6	1.193124598	WP	1	Cryptocarya
WP2D0377	Calophyllum.soulattri	Clusiaceae	9.7	0.986771734	WP	1	Calophyllum
WP2D0378	Chisocheton.ceramicus	Meliaceae	6	0.77815125	WP	1	Chisocheton
WP2D0379	Gigasiphon.schlechteri	Fabaceae	28.6	1.456366033	WP	1	Gigasiphon
WP2D0380	Pimelodendron.amboinicum	Euphorbiaceae	8	0.903089987	WP	1	Pimelodendron
WP2D0381	Pterocarpus.indicus	Fabaceae	72.2	1.858537198	WP	1	Pterocarpus
WP2D0382	Osmoxylon.novo-guineense	Araliaceae	6.6	0.819543936	WP	1	Osmoxylon
WP2D1298	Medusanthera.laxiflora	Stemonuraceae	5.1	0.707570176	WP	1	Medusanthera
WP2D1299	Uncaria.appendiculata	Rubiaceae	8.5	0.929418926	WP	1	Uncaria
WP2D1300	Microcos.grandiflora	Malvaceae	10.5	1.021189299	WP	1	Microcos
WP2D1301	Coelospermum.salomoniense	Rubiaceae	6	0.77815125	WP	1	Coelospermum
WP2E0260	Petraeovitex.multiflora	Lamiaceae	8.8	0.944482672	WP	1	Petraeovitex
WP2E0261	Coelospermum.salomoniense	Rubiaceae	8.5	0.929418926	WP	1	Coelospermum
WP2E0262	Terminalia.complanata	Combretaceae	47.1	1.673020907	WP	1	Terminalia
WP2E0263	Tristiropsis.acutangula	Sapindaceae	7.8	0.892094603	WP	1	Tristiropsis
WP2E0264	Gnetum.latifolium	Gnetaceae	9.3	0.968482949	WP	1	Gnetum
WP2E0265	Omphalea.papuana	Euphorbiaceae	9	0.954242509	WP	1	Omphalea
WP2E0266	Horsfieldia.basifissa	Myristicaceae	6.4	0.806179974	WP	1	Horsfieldia
WP2E0267	Coelospermum.salomoniense	Rubiaceae	7.4	0.86923172	WP	1	Coelospermum
WP2E0268	Pometia.pinnata	Sapindaceae	29.3	1.46686762	WP	1	Pometia
WP2E0269	Microcos.grandiflora	Malvaceae	13.4	1.127104798	WP	1	Microcos
WP2E0270	Syzygium.longipes	Myrtaceae	5.7	0.755874856	WP	1	Syzygium
WP2E0271	Litsea.collina	Lauraceae	7.3	0.86332286	WP	1	Litsea
WP2E0272	Prainea.papuana	Moraceae	7.4	0.86923172	WP	1	Prainea
WP2E0273	Dysoxylum.arborescens	Meliaceae	5.9	0.770852012	WP	1	Dysoxylum
WP2E0274	Myristica.fatua	Myristicaceae	28.4	1.45331834	WP	1	Myristica
WP2E0275	Myristica.fatua	Myristicaceae	8.4	0.924279286	WP	1	Myristica
WP2E0276	Gymnacranthera.paniculata	Myristicaceae	13	1.113943352	WP	1	Gymnacranthera
WP2E0277	Pimelodendron.amboinicum	Euphorbiaceae	8.9	0.949390007	WP	1	Pimelodendron
WP2E0278	Pimelodendron.amboinicum	Euphorbiaceae	21.1	1.324282455	WP	1	Pimelodendron
WP2E0279	Chionanthus.brassii	Oleaceae	5.8	0.763427994	WP	1	Chionanthus
WP2E0280	Archidendron.ptenopum	Fabaceae	11.4	1.056904851	WP	1	Archidendron
WP2E0281	Teijsmanniodendron.bogoriense	Lamiaceae	56.4	1.751279104	WP	1	Teijsmanniodendron
WP2E0282	Gnetum.gnemonoides	Gnetaceae	8.6	0.934498451	WP	1	Gnetum
WP2E0283	Gymnacranthera.paniculata	Myristicaceae	6.1	0.785329835	WP	1	Gymnacranthera
WP2E0284	Gymnacranthera.paniculata	Myristicaceae	11.8	1.071882007	WP	1	Gymnacranthera
WP2E0285	Merrilliodendron.megacarpum	Icacinaceae	6.5	0.812913357	WP	1	Merrilliodendron
WP2E0286	Pimelodendron.amboinicum	Euphorbiaceae	16.8	1.225309282	WP	1	Pimelodendron
WP2E0287	Chionanthus.brassii	Oleaceae	8.2	0.913813852	WP	1	Chionanthus
WP2E0288	Gymnacranthera.paniculata	Myristicaceae	7.2	0.857332496	WP	1	Gymnacranthera
WP2E0289	Medusanthera.laxiflora	Stemonuraceae	NA	NA	WP	1	Medusanthera
WP2E0290	Palaquium.morobense	Sapotaceae	6.1	0.785329835	WP	1	Palaquium
WP2E0291	Mastixiodendron.pachyclados	Rubiaceae	32.4	1.51054501	WP	1	Mastixiodendron
WP2E0292	Horsfieldia.basifissa	Myristicaceae	14.1	1.149219113	WP	1	Horsfieldia
WP2E0293	Myristica.globosa	Myristicaceae	6.1	0.785329835	WP	1	Myristica
WP2E0294	Pometia.pinnata	Sapindaceae	13.7	1.136720567	WP	1	Pometia
WP2E0295	Horsfieldia.basifissa	Myristicaceae	6.2	0.792391689	WP	1	Horsfieldia
WP2E0296	Mastixiodendron.pachyclados	Rubiaceae	40.2	1.604226053	WP	1	Mastixiodendron
WP2E0297	Gnetum.gnemonoides	Gnetaceae	12	1.079181246	WP	1	Gnetum
WP2E0298	Medusanthera.laxiflora	Stemonuraceae	5.6	0.748188027	WP	1	Medusanthera
WP2E0299	Horsfieldia.basifissa	Myristicaceae	8.5	0.929418926	WP	1	Horsfieldia
WP2E0300	Gymnacranthera.paniculata	Myristicaceae	16.6	1.220108088	WP	1	Gymnacranthera
WP2E0301	Horsfieldia.basifissa	Myristicaceae	6.2	0.792391689	WP	1	Horsfieldia
WP2E0302	Chionanthus.brassii	Oleaceae	12.5	1.096910013	WP	1	Chionanthus
WP2E0303	Horsfieldia.basifissa	Myristicaceae	5.7	0.755874856	WP	1	Horsfieldia
WP2E0304	Petraeovitex.multiflora	Lamiaceae	5.5	0.740362689	WP	1	Petraeovitex
WP2E0305	Pimelodendron.amboinicum	Euphorbiaceae	25.4	1.404833717	WP	1	Pimelodendron
WP2E0306	Mastixiodendron.pachyclados	Rubiaceae	5.6	0.748188027	WP	1	Mastixiodendron
WP2E0307	Horsfieldia.basifissa	Myristicaceae	9.9	0.995635195	WP	1	Horsfieldia
WP2E0308	Terminalia.archipelagi	Combretaceae	49.8	1.697229343	WP	1	Terminalia
WP2E0309	Uncaria.appendiculata	Rubiaceae	15.4	1.187520721	WP	1	Uncaria
WP2E0310	Gnetum.latifolium	Gnetaceae	8.9	0.949390007	WP	1	Gnetum
WP2E0311	Planchonella.sp.	Sapotaceae	6.3	0.799340549	WP	1	Planchonella
WP2E0312	Papuechites.aambe	Apocynaceae	5.8	0.763427994	WP	1	Papuechites
WP2E0313	Petraeovitex.multiflora	Lamiaceae	7.4	0.86923172	WP	1	Petraeovitex
WP2E0314	Microcos.grandiflora	Malvaceae	5.4	0.73239376	WP	1	Microcos
WP2E0315	Gnetum.gnemon	Gnetaceae	11.6	1.064457989	WP	1	Gnetum
WP2E0316	Pometia.pinnata	Sapindaceae	51.4	1.710963119	WP	1	Pometia
WP2E0317	Litsea.timoriana	Lauraceae	5.3	0.72427587	WP	1	Litsea
WP2E0318	Barringtonia.apiculata	Lecythidaceae	6.4	0.806179974	WP	1	Barringtonia
WP2E0319	Teijsmanniodendron.bogoriense	Lamiaceae	33.2	1.521138084	WP	1	Teijsmanniodendron
WP2E0320	Buchanania.arborescens	Anacardiaceae	8.3	0.919078092	WP	1	Buchanania
WP2E0321	Teijsmanniodendron.bogoriense	Lamiaceae	5.9	0.770852012	WP	1	Teijsmanniodendron
WP2E0322	Chisocheton.trichocladus	Meliaceae	6.1	0.785329835	WP	1	Chisocheton
WP2E0323	Ficus.hahliana	Moraceae	NA	NA	WP	1	Ficus
WP2E0324	Pisonia.longirostris	Nyctaginaceae	8.1	0.908485019	WP	1	Pisonia
WP2E0325	Horsfieldia.basifissa	Myristicaceae	6.6	0.819543936	WP	1	Horsfieldia
WP2E0326	Horsfieldia.basifissa	Myristicaceae	5.1	0.707570176	WP	1	Horsfieldia
WP2E1293	Teijsmanniodendron.bogoriense	Lamiaceae	12.6	1.100370545	WP	1	Teijsmanniodendron
WP2E1294	Maclura.amboinensis	Moraceae	6.3	0.799340549	WP	1	Maclura
WP2E1295	Coelospermum.salomoniense	Rubiaceae	5.2	0.716003344	WP	1	Coelospermum
WP2E1296	Gen?.sp.	Fam?	NA	NA	WP	1	Gen?
WP2E1297	Strychnos.minor	Loganiaceae	10.2	1.008600172	WP	1	Strychnos
WP3A0507	Microcos.argentata	Malvaceae	10.4	1.017033339	WP	1	Microcos
WP3A0508	Drypetes.sp.	Putranjivaceae	6.7	0.826074803	WP	1	Drypetes
WP3A0509	Elaeocarpus.miegei	Elaeocarpaceae	17.2	1.235528447	WP	1	Elaeocarpus
WP3A0510	Ficus.variegata	Moraceae	20.9	1.320146286	WP	1	Ficus
WP3A0511	Aphanamixis.polystachya	Meliaceae	8.1	0.908485019	WP	1	Aphanamixis
WP3A0512	Macaranga.fallacina	Euphorbiaceae	5.8	0.763427994	WP	1	Macaranga
WP3A0513	Gymnacranthera.paniculata	Myristicaceae	8.8	0.944482672	WP	1	Gymnacranthera
WP3A0514	Horsfieldia.hellwigii	Myristicaceae	5.2	0.716003344	WP	1	Horsfieldia
WP3A0515	Maniltoa.psilogyne	Fabaceae	8.3	0.919078092	WP	1	Maniltoa
WP3A0516	Terminalia.complanata	Combretaceae	6.8	0.832508913	WP	1	Terminalia
WP3A0517	Teijsmanniodendron.bogoriense	Lamiaceae	6.8	0.832508913	WP	1	Teijsmanniodendron
WP3A0551	Macaranga.fallacina	Euphorbiaceae	7.7	0.886490725	WP	1	Macaranga
WP3A0552	Gen?.sp.	Fam?	NA	NA	WP	1	Gen?
WP3A0553	Uncaria.appendiculata	Rubiaceae	7.6	0.880813592	WP	1	Uncaria
WP3A0554	Mastixiodendron.pachyclados	Rubiaceae	9	0.954242509	WP	1	Mastixiodendron
WP3A0555	Celtis.latifolia	Cannabaceae	7.7	0.886490725	WP	1	Celtis
WP3A0556	Archidendron.ptenopum	Fabaceae	7.1	0.851258349	WP	1	Archidendron
WP3A0557	Chisocheton.cumingianus	Meliaceae	10.9	1.037426498	WP	1	Chisocheton
WP3A0558	Gymnacranthera.paniculata	Myristicaceae	5.9	0.770852012	WP	1	Gymnacranthera
WP3A0559	Syzygium.fastigatum	Myrtaceae	10.9	1.037426498	WP	1	Syzygium
WP3A0560	Mastixiodendron.pachyclados	Rubiaceae	14.1	1.149219113	WP	1	Mastixiodendron
WP3A0561	AnnonaceaeGen?.sp.	Annonaceae	NA	NA	WP	1	AnnonaceaeGen?
WP3A0562	Horsfieldia.basifissa	Myristicaceae	5.3	0.72427587	WP	1	Horsfieldia
WP3A0563	Syzygium.gonatanthum	Myrtaceae	8.6	0.934498451	WP	1	Syzygium
WP3A0564	Teijsmanniodendron.bogoriense	Lamiaceae	43.5	1.638489257	WP	1	Teijsmanniodendron
WP3A0565	Dysoxylum.macrostachyum	Meliaceae	7.5	0.875061263	WP	1	Dysoxylum
WP3A0566	Chisocheton.ceramicus	Meliaceae	7	0.84509804	WP	1	Chisocheton
WP3A0567	Litsea.timoriana	Lauraceae	9.5	0.977723605	WP	1	Litsea
WP3A0568	Dysoxylum.arborescens	Meliaceae	7.3	0.86332286	WP	1	Dysoxylum
WP3A0569	Chisocheton.trichocladus	Meliaceae	6.5	0.812913357	WP	1	Chisocheton
WP3A0570	Mastixiodendron.pachyclados	Rubiaceae	9.8	0.991226076	WP	1	Mastixiodendron
WP3A0571	Teijsmanniodendron.bogoriense	Lamiaceae	30.5	1.484299839	WP	1	Teijsmanniodendron
WP3A0572	Mastixiodendron.pachyclados	Rubiaceae	5.6	0.748188027	WP	1	Mastixiodendron
WP3A0573	Litsea.collina	Lauraceae	10	1	WP	1	Litsea
WP3A0574	Neonauclea.obversifolia	Rubiaceae	48	1.681241237	WP	1	Neonauclea
WP3A0575	Archidendron.ptenopum	Fabaceae	5.9	0.770852012	WP	1	Archidendron
WP3A0576	Polyalthia.sp..1	Annonaceae	12	1.079181246	WP	1	Polyalthia
WP3A0577	Prainea.papuana	Moraceae	6.5	0.812913357	WP	1	Prainea
WP3A0578	Caryota.rumphiana	Arecaceae	7.2	0.857332496	WP	1	Caryota
WP3A0579	Litsea.timoriana	Lauraceae	8.6	0.934498451	WP	1	Litsea
WP3A0580	Drypetes.lasiogynoides	Putranjivaceae	19	1.278753601	WP	1	Drypetes
WP3A0581	Sterculia.ampla	Malvaceae	NA	NA	WP	1	Sterculia
WP3A0582	Horsfieldia.basifissa	Myristicaceae	6.2	0.792391689	WP	1	Horsfieldia
WP3A0600	Gymnacranthera.paniculata	Myristicaceae	12.8	1.10720997	WP	1	Gymnacranthera
WP3A0601	Celtis.philippensis	Cannabaceae	67.4	1.828659897	WP	1	Celtis
WP3A0602	Dysoxylum.alliaceum	Meliaceae	9.3	0.968482949	WP	1	Dysoxylum
WP3A1305	Erythrospermum.candidum	Salicaceae	21.3	1.328379603	WP	1	Erythrospermum
WP3A1306	Kingiodendron.novoguineense	Fabaceae	8.3	0.919078092	WP	1	Kingiodendron
WP3A1307	Ficus.melinocarpa	Moraceae	5	0.698970004	WP	1	Ficus
WP3A1308	Ficus.hahliana	Moraceae	5.1	0.707570176	WP	1	Ficus
WP3B0583	Gymnacranthera.paniculata	Myristicaceae	10.8	1.033423755	WP	1	Gymnacranthera
WP3B0584	Litsea.timoriana	Lauraceae	5	0.698970004	WP	1	Litsea
WP3B0585	Mastixiodendron.pachyclados	Rubiaceae	9.4	0.973127854	WP	1	Mastixiodendron
WP3B0586	Petraeovitex.multiflora	Lamiaceae	6.6	0.819543936	WP	1	Petraeovitex
WP3B0587	Pangium.edule	Achariaceae	20.4	1.309630167	WP	1	Pangium
WP3B0588	Aceratium.oppositifolium	Elaeocarpaceae	6.7	0.826074803	WP	1	Aceratium
WP3B0589	Cupaniopsis.macropetala	Sapindaceae	7.1	0.851258349	WP	1	Cupaniopsis
WP3B0590	Versteegia.cauliflora	Rubiaceae	8.4	0.924279286	WP	1	Versteegia
WP3B0591	Garcinia.maluensis	Clusiaceae	5.4	0.73239376	WP	1	Garcinia
WP3B0592	Maclura.amboinensis	Moraceae	7.7	0.886490725	WP	1	Maclura
WP3B0593	Pterocarpus.indicus	Fabaceae	37.8	1.5774918	WP	1	Pterocarpus
WP3B0594	Tristiropsis.acutangula	Sapindaceae	8.7	0.939519253	WP	1	Tristiropsis
WP3B0595	Erythrospermum.candidum	Salicaceae	8.2	0.913813852	WP	1	Erythrospermum
WP3B0596	Aglaia.lepiorrhachis	Meliaceae	16.1	1.206825876	WP	1	Aglaia
