Sp. Code	Hydriastele microspadix (Becc.) Burret.	Artocarpus camansi Blanco	Ficus botryocarpa Miq.	Breynia cernua (Poir.) Muell. Arg.	Casearia erythrocarpa Sleumer	Ficus conocephalifolia Ridley	Ficus copiosa Steud.	Ficus dammaropsis Diels	Dracaena angustifolia Roxb.	Endospermum labios Schodde	Eupomatia laurina R. Br.	Gardenia hansemannii K. Schum.	Homalanthus novoguineensis K. Schum.	Macaranga densiflora Warb.	Macaranga cf. brachytricha Airy Shaw	Mallotus mollissimus (Geisel.) Airy Shaw	Macaranga ducis Whitmore	Macaranga quadriglandulosa Warb.	Melanolepis multiglandulosa Rchb. & Zoll. 	Ficus nodosa Teysm. & Binn.	Osmoxylon sessiliflorum (Lauterb.) Philipson	Pavetta platyclada K.Schum. & Lauterb.	Ficus phaeosyce Laut. & K. Schum.	Pimelodendron amboinicum Hassk.	Premna obtusifolia R.Br.	Psychotria leptothyrsa Miq.	Psychotria micralabastra Valeton	Psychotria micrococca Valeton	Pterocarpus indicus Willd.	Ficus pungens Reinw. ex Blume	Ficus septica Burm. f.	Kibara cf. coriacea (Blume) Hook.f. & Thomson	Sterculia schumanniana (Lauterb.) Mildbr.	Tabernaemontana aurantiaca Gaudich.	Timonius timon (Spreng.) Merr.	Ficus trachypison K. Schum.	Ficus variegata Blume	Ficus wassa Roxb.	ni.	pi	Guild	Order	Family	Species
CHRY110																		2																					2	1	mobile chewers	Coleoptera	Chrysomelidae	Aulacophora sp. [CHRY110]
CHRY040												2																											2	1	mobile chewers	Coleoptera	Chrysomelidae	Aulacophora sp. nr. pallidifasciata Jacoby
CHRY091																	2		3																				5	2	mobile chewers	Coleoptera	Chrysomelidae	Cassena sp. [CHRY091]
CHRY072														25	37		70	48																					180	4	mobile chewers	Coleoptera	Chrysomelidae	Cleorina sp. [CHRY072]
CHRY043																				21																			21	1	mobile chewers	Coleoptera	Chrysomelidae	Coenobius sp. [CHRY043]
CHRY125												79																											79	1	mobile chewers	Coleoptera	Chrysomelidae	Dactylispa sp. nov. [CHRY125]
CHRY108														3	3	4	2																	2					14	5	mobile chewers	Coleoptera	Chrysomelidae	Deretichia sp. [CHRY108]
CHRY124																	3																						3	1	mobile chewers	Coleoptera	Chrysomelidae	Deretichia sp. [CHRY124]
CHRY023						2																														3			5	2	mobile chewers	Coleoptera	Chrysomelidae	Deretrichia sp. [CHRY023]
CHRY054						7		7					233	5	2		4	6	2					2											2				270	10	mobile chewers	Coleoptera	Chrysomelidae	Deretrichia sp. [CHRY054]
CHRY061																																				2			2	1	mobile chewers	Coleoptera	Chrysomelidae	Deretrichia sp. [CHRY061]
CHRY076														3	9			3																					15	3	mobile chewers	Coleoptera	Chrysomelidae	Deretrichia sp. [CHRY076]
CHRY147					5																																		5	1	mobile chewers	Coleoptera	Chrysomelidae	Deretrichia sp. [CHRY147]
CHRY029														109	2																								111	2	mobile chewers	Coleoptera	Chrysomelidae	Indet. [CHRY029]
CHRY118																			6																				6	1	mobile chewers	Coleoptera	Chrysomelidae	Indet. [CHRY118]
CHRY126												5																											5	1	mobile chewers	Coleoptera	Chrysomelidae	Indet. [CHRY126]
CHRY144																																	2						2	1	mobile chewers	Coleoptera	Chrysomelidae	Indet. [CHRY144]
CHRY145																									11														11	1	mobile chewers	Coleoptera	Chrysomelidae	Indet. [CHRY145]
CHRY093																5				6																2			13	3	mobile chewers	Coleoptera	Chrysomelidae	Lema staudingeri Jacoby
CHRY016			5			22	14	9												4										5						6	42		107	8	mobile chewers	Coleoptera	Chrysomelidae	Lomirana sp. nr. sulcipennis Jacoby
CHRY085													4																										4	1	mobile chewers	Coleoptera	Chrysomelidae	Melatia sp. [CHRY085]
CHRY090													2																										2	1	mobile chewers	Coleoptera	Chrysomelidae	Melatia sp. [CHRY090]
CHRY099													39																										39	1	mobile chewers	Coleoptera	Chrysomelidae	Melatia sp. nr. glochidionis (Gressitt)
CHRY020						6	3	3												25			8													2	7	30	84	8	mobile chewers	Coleoptera	Chrysomelidae	Microlepta sp. [CHRY020]
CHRY103																						3					10	4											17	3	mobile chewers	Coleoptera	Chrysomelidae	Microlepta sp. [CHRY103]
CHRY088				26																																			26	1	mobile chewers	Coleoptera	Chrysomelidae	Monolepta sp. [CHRY088]
CHRY089				164											2				27																				193	3	mobile chewers	Coleoptera	Chrysomelidae	Monolepta sp. [CHRY089]
CHRY120															2			3																					5	2	mobile chewers	Coleoptera	Chrysomelidae	Monolepta sp. [CHRY120]
CHRY111																		2																					2	1	mobile chewers	Coleoptera	Chrysomelidae	Nisotra or Cassena sp. [CHRY111]
CHRY068						16																															43	23	82	3	mobile chewers	Coleoptera	Chrysomelidae	Nisotra sp. [CHRY068]
CHRY003							7																															24	31	2	mobile chewers	Coleoptera	Chrysomelidae	Poneridea australis Boheman
CHRY009						57	3	6												4			28							4	11					12		22	147	9	mobile chewers	Coleoptera	Chrysomelidae	Prasyptera sp. nr. ornata Baly
CHRY133																					41																		41	1	mobile chewers	Coleoptera	Chrysomelidae	Promechus bimaculatus (Weise)
CHRY025							4																																4	1	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida basalis Baly
CHRY031		15				2	11						2	23	17	26	3	36	4			5	2	5									15			5	7	5	183	17	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida cacaovora Gressitt
CHRY019		10	3				8	5								6			9	2	2	2							6				18			3		7	81	13	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida calami Gressitt
CHRY001		210	22	3		3	138	35				7	10	12	20	185	76	44	28	6		10	14	3	4		3		6	12	21		6			42	63	51	1034	27	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida coriacea Jacoby
CHRY052						5							8			2			4	13	3									2									37	7	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida fasciata Baly
CHRY021		5				2	8	7				2				2							5										3			5	8	3	50	11	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida fruhstorferi Jacoby
CHRY046		7	2			3							5	45	88	140	91	77	13														3		2			6	482	13	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida huona Gressitt
CHRY079		3				3								4			9	8															44					2	73	7	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida lineolata Gressitt
CHRY014							2			2				18	14	17		21	3														3						80	8	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida picticollis Gressitt
CHRY084													37	4		19			6					2															68	5	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida pruinicolis Gressitt
CHRY037						15	54	22											4	2											2		2			4		2	107	9	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida sinuata Gressitt
CHRY027														2						7																	20	2	31	4	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida sp. [CHRY027]
CHRY113														18							4																		22	2	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida sp. [CHRY113]
CHRY134																																	2						2	1	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida sp. [CHRY134]
CHRY026							3							6		2		7																					18	4	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida sp. nr. impressipennis Bryant
CHRY018																				2																			2	1	mobile chewers	Coleoptera	Chrysomelidae	Rhyparida sp. nr. normalis Gressitt
CHRY071																			2																				2	1	mobile chewers	Coleoptera	Chrysomelidae	Rhyparidella casuarinae Gressitt
CHRY082														22	5	16	12																						55	4	mobile chewers	Coleoptera	Chrysomelidae	Rhyparidella sewana gr. Gressitt
CHRY002		4	121			342	162	227					6	3				2	2	153			27		3		2		12	108	20	2	28			225	199	90	1738	21	mobile chewers	Coleoptera	Chrysomelidae	Rhyparidella sobrina gr. (Bryant)
CHRY012						2																																	2	1	mobile chewers	Coleoptera	Chrysomelidae	Rhyparidella sp. [CHRY012]
CHRY022																																						2	2	1	mobile chewers	Coleoptera	Chrysomelidae	Rhyparidella sp. [CHRY022]
CHRY032																		4	6											5									15	3	mobile chewers	Coleoptera	Chrysomelidae	Rhyparidella sp. [CHRY032]
CHRY044																														3									3	1	mobile chewers	Coleoptera	Chrysomelidae	Rhyparidella sp. [CHRY044]
CHRY155																																			11				11	1	mobile chewers	Coleoptera	Chrysomelidae	Rhyparidella sp. [CHRY155]
CHRY160																																			10				10	1	mobile chewers	Coleoptera	Chrysomelidae	Rhyparidella sp. [CHRY160]
CHRY057																																						2	2	1	mobile chewers	Coleoptera	Chrysomelidae	Sastra limbata Baly
CHRY033						6					2	2													2	2	6						11					2	33	8	mobile chewers	Coleoptera	Chrysomelidae	Sastra sp. [CHRY033]
CHRY038						8		6												3			5										3			2		2	29	7	mobile chewers	Coleoptera	Chrysomelidae	Sastra sp. nov. [CHRY038]
CHRY171																																	13						13	1	mobile chewers	Coleoptera	Chrysomelidae	Stethodes sp. nr. melostomae Gressitt
CHRY030		2	42		2	93	78	76			2	2	4	7	3	12				75			28						2	69	15		4		2	283	12	10	823	22	mobile chewers	Coleoptera	Chrysomelidae	Stethotes lateralis Baly
CHRY017																																						2	2	1	mobile chewers	Coleoptera	Chrysomelidae	Stethotes nigritula Baly
CHRY142																									53														53	1	mobile chewers	Coleoptera	Chrysomelidae	Sutrea sp. [CHRY142]
CHRY056							13	3		4								3	42	12			11													17		8	113	9	mobile chewers	Coleoptera	Chrysomelidae	Thyrasia? sp. [CHRY056]
CHRY158												4																											4	1	mobile chewers	Coleoptera	Chrysomelidae	Trachyaphthona sp. [CHRY158]
CHRY096																										2	13	10											25	3	mobile chewers	Coleoptera	Chrysomelidae	Trachyphathona sp. [CHRY096]
CHRY058																							8																8	1	mobile chewers	Coleoptera	Chrysomelidae	Xenidea sp. [CHRY058]
CURC022										69			37		3			2						2				2											115	6	mobile chewers	Coleoptera	Curculionidae	Alcidodes australis Boisduval
CURC005						8	28			2			2						4									2		5	17				3			4	75	10	mobile chewers	Coleoptera	Curculionidae	Alcidodes elegans (Guerin)
CURC019															11		2	2																					15	3	mobile chewers	Coleoptera	Curculionidae	Alcidodes praeustus Guerin
CURC051																											2												2	1	mobile chewers	Coleoptera	Curculionidae	Alcidodes sp. [CURC051]
CURC002	5	48	6	9	37		14		18	63	50	65	97	83	12	17	26	29	66	18	49	120	2	15	95	61	190	70	63			48	77	47	99				1599	31	mobile chewers	Coleoptera	Curculionidae	Apirocalus ebrius Faust
CURC046																										3						2							5	2	mobile chewers	Coleoptera	Curculionidae	Behrensiellus glabratus Pascoe
CURC009														2																									2	1	mobile chewers	Coleoptera	Curculionidae	Celeuthetes sp. [CURC009]
CURC008						2																								2									4	2	mobile chewers	Coleoptera	Curculionidae	Deretiosus aridus Pascoe
CURC040												30									16	6			55	2	8	5					2	2	27				153	10	mobile chewers	Coleoptera	Curculionidae	Elytrocheilus ruficollis Faust
CURC085					5																																		5	1	mobile chewers	Coleoptera	Curculionidae	Eupholus geoffroyi Guerin-Meneville
CURC017																							4							6									10	2	mobile chewers	Coleoptera	Curculionidae	Eutinophaea sp. [CURC017]
CURC066																												2											2	1	mobile chewers	Coleoptera	Curculionidae	Imathia sp. nr. unicolor Pascoe
CURC001		25		2	27	8	12		28	36	30	62	42	203	10	58	66	35	50		41	28		21	51	9	34	46	41	12		19	12	15	51		11		1085	30	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC001]
CURC006																																						2	2	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC006]
CURC010	4	62		5	75	7		2	34	44	189	133	57	73	16	50	89	30	20		33	83		49	50	23	83	75	70			21	53	62	129			2	1623	30	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC010]
CURC012		121	3	4	89	3	19	6	249	82	112	219	55	160	23	71	68	65	44	15	28	195	3	43	47	44	77	139	73	11	3	27	79	77	172		16	9	2451	36	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC012]
CURC026																												2											2	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC026]
CURC028																	3																						3	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC028]
CURC031																								2															2	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC031]
CURC034														5																									5	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC034]
CURC038																						2																	2	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC038]
CURC039																2																							2	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC039]
CURC044													2																										2	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC044]
CURC054																																			3				3	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC054]
CURC055																																			4				4	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC055]
CURC067																											2												2	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC067]
CURC069																											8												8	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC069]
CURC087																					13																		13	1	mobile chewers	Coleoptera	Curculionidae	Indet. [CURC087]
CURC033													3	2				3						3															11	4	mobile chewers	Coleoptera	Curculionidae	Oribius sp. [CURC033]
CURC023																		3																					3	1	mobile chewers	Coleoptera	Curculionidae	Orthorhinus sp. [CURC023]
CURC037																						6						3											9	2	mobile chewers	Coleoptera	Curculionidae	Orthorhinus sp. [CURC037]
CURC035															5		6																						11	2	mobile chewers	Coleoptera	Curculionidae	Paepalosomus sp. [CURC035]
CURC007					4	2	4			4																													14	4	mobile chewers	Coleoptera	Curculionidae	Rhinoscapha doriae Pascoe
CURC003				2	5		5			5	2	6	5			3	4	4	7					2	2	3	2	2									2	3	64	18	mobile chewers	Coleoptera	Curculionidae	Rhinoscapha tricolor Faust
CURC048											6																												6	1	mobile chewers	Coleoptera	Curculionidae	Rhynocophorus? so. [CURC048]
CURC027																	2											2											4	2	mobile chewers	Coleoptera	Curculionidae	Trigonopterus sp. [CURC027]
CURC014																				2																			2	1	mobile chewers	Coleoptera	Curculionidae	Viticiina? sp. [CURC014]
ELAT004				8						14									11														2						35	4	mobile chewers	Coleoptera	Elateridae	Agrypnus sp. [ELAT004]
ELAT002														6		2			4																				12	3	mobile chewers	Coleoptera	Elateridae	Lacon sp. [ELAT002]
ELAT005																			2																				2	1	mobile chewers	Coleoptera	Elateridae	Simodactylus similis (Candeze)
ELAT012																																			2				2	1	mobile chewers	Coleoptera	Elateridae	Simodactylus sp. [ELAT012]
ACRI026													3	12	10	5	10	17																	3				60	7	mobile chewers	Orthoptera	Eumastacidae	Biroella bolivari polita (Bolivar)
ACRI042														2			2																						4	2	mobile chewers	Orthoptera	Eumastacidae	Biroella papuana Bolivar
ACRI009																											2												2	1	mobile chewers	Orthoptera	Eumastacidae	Indet. [ACRI009]
ACRI043													3	2	11	2	3	10																	8				39	7	mobile chewers	Orthoptera	Eumastacidae	Mnesiclesina furcata (Saussure)
ACRI044													2	9	12	3	10	19				2					12	8	2						8				87	11	mobile chewers	Orthoptera	Eumastacidae	Paramnesicles buergersi (Bolivar)
PHAS026																						18						2							5				25	3	mobile chewers	Phasmida	Heteronemiidae	Leprocaulinus sp. nr. vipera (B. von Wattenwyl)
PHAS001												2									2	4			5		5	8	5			2	6					3	42	10	mobile chewers	Phasmida	Heteronemiidae	Neopromachus lobatipes (B. von Wattenwyl)
PHAS002	4	5			5		5	3				8								4	7	5	5				2	5	18	3		6	10	2	5	5	3	6	116	21	mobile chewers	Phasmida	Heteronemiidae	Neopromachus vepres vepres B. von Wattenwyl
PHAS027		2										2													2														6	3	mobile chewers	Phasmida	Heteronemiidae	Neopromachus wallacei (Westwood)
PHAS037											13																												13	1	mobile chewers	Phasmida	Heteronemiidae	Sipiloidea sp. [PHAS037]
PHAS017																													2			3							5	2	mobile chewers	Phasmida	Phasmatidae	Anchiale maculata (Olivier)
PHAS004	2	2						2			2	2									6	8	2						4	4		5	4						43	12	mobile chewers	Phasmida	Phasmatidae	Dimorphodes prostasis serripes Redtenbacher
PHAS016		2																								2	2	2	3				2		3				16	7	mobile chewers	Phasmida	Phasmatidae	Eurycantha insularis Lucas
PHAS007		4							6			19									7	133			9	60	194	293	3	4		5	21	2	17				777	15	mobile chewers	Phasmida	Phasmatidae	Indet. [PHAS007]
PHAS022										2																	4						4						10	3	mobile chewers	Phasmida	Phasmatidae	Neopromachus sp. [PHAS022]
ACRI011	17	12			6	4	2	2	6		4	34	2		3	3	2		2	9	76	8	3		18	35	42	22	18	4		2	16	25	14	15	2	5	413	31	mobile chewers	Orthoptera	Pyrgomorphidae	Atractomorpha crenaticeps (Blanchard)
ACRI001	43	70	23		33	14	11	24	32		40	72	131	8	9	21	9	4	46	13	87	77	20	6	74	56	71	75	44	21	22	10	22	86	52	20	12	14	1372	36	mobile chewers	Orthoptera	Pyrgomorphidae	Desmopterella biroi (Bolivar)
PYRG008																											2												2	1	mobile chewers	Orthoptera	Pyrgomorphidae	Doriaella paradoxa (Bolivar)
ACRI023	3				5						4	16									7	11				7	6	10	2			2		4	2				79	13	mobile chewers	Orthoptera	Pyrgomorphidae	Menesesia novaeguineae Willemse
PYRG001	6	5			3				114								2				4	9		2	2	18	7	7					2	9	3				193	15	mobile chewers	Orthoptera	Pyrgomorphidae	Stenoxyphus aurantiacus (Karsh)
SCAR003																																			2				2	1	mobile chewers	Coleoptera	Scarabaeidae	Mimela sp. [SCAR003]
CHRY115													2													2													4	2	mobile chewers	Coleoptera	Tenebrionidae	Indet. [CHRY115]
TETT028																2																							2	1	mobile chewers	Orthoptera	Tettigoniidae	Aphroptera biroi Bolivar
TETT011		15																																					15	1	mobile chewers	Orthoptera	Tettigoniidae	Aucaloplacella sp. [TETT011] 
TETT041				2																																			2	1	mobile chewers	Orthoptera	Tettigoniidae	Biroa sp. [TETT041]
TETT049													2																										2	1	mobile chewers	Orthoptera	Tettigoniidae	Caedicia sp. [TETT049] 
TETT036													2														3												5	2	mobile chewers	Orthoptera	Tettigoniidae	Ducetia sp. [TETT036]
TETT019		2																										3		2									7	3	mobile chewers	Orthoptera	Tettigoniidae	Eumecopoda cyrtoscelis (Karsch)
TETT046				2																																			2	1	mobile chewers	Orthoptera	Tettigoniidae	Hexacentrus sp. [TETT046]
TETT002						2	2						2							2																		2	10	5	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT002]
TETT006							2						5																								2		9	3	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT006]
TETT018																																					2	2	4	2	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT018]
TETT025																															2								2	1	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT025]
TETT035										2			7																										9	2	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT035]
TETT038				2									2	2	2	4		3	3					2															20	8	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT038]
TETT044				2									15	3				2	2													3			2				29	7	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT044]
TETT045				2						2	5		6						2						2				4				6						29	8	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT045]
TETT052																	2																						2	1	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT052]
TETT054																													2										2	1	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT054]
TETT058									2																														2	1	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT058]
TETT069	2																																						2	1	mobile chewers	Orthoptera	Tettigoniidae	Indet. [TETT069]
TETT023												2	3								4				2								2					4	17	6	mobile chewers	Orthoptera	Tettigoniidae	Phaneroptera sp. [TETT023] 
TETT008																													2										2	1	mobile chewers	Orthoptera	Tettigoniidae	Phyllophora cf. bispinosa Thompson
TETT001																																						3	3	1	mobile chewers	Orthoptera	Tettigoniidae	Phyllophora sp. [TETT001] 
TETT012						2	2	3																						4						2			13	5	mobile chewers	Orthoptera	Tettigoniidae	Phyllophora sp. [TETT012] 
TETT029																										2													2	1	mobile chewers	Orthoptera	Tettigoniidae	Pseudonicsara aerugifrons (Karny)
TETT022		2		9			2	4		13	2	2	92	7	8	12	10	9	24	2		9		6	4		8		3		3		17		10				258	23	mobile chewers	Orthoptera	Tettigoniidae	Psyrana ? sp. [TETT022] 
TETT043													2																										2	1	mobile chewers	Orthoptera	Tettigoniidae	Psyrana? sp. [TETT043] 
TETT048																								2															2	1	mobile chewers	Orthoptera	Tettigoniidae	Psyrana? sp. [TETT048] 
TETT007						7																																	7	1	mobile chewers	Orthoptera	Tettigoniidae	Sasima aequalis Karny
TETT004		3				4	9	3															3							4						2	2	5	35	9	mobile chewers	Orthoptera	Tettigoniidae	Tympanoptera cf. buergersi Beier 
TETT027															2																							2	4	2	mobile chewers	Orthoptera	Tettigoniidae	Tympanoptera sp. [TETT027]
CHOR002						6														3																	23		32	3	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia salaconia Meyrick
CHOR006																																	12						12	1	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. [CHOR006]
CHOR009																													10										10	1	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. [CHOR009]
CHOR001						11																	2															2	15	3	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. nov. [CHOR001]
CHOR008A																		250																					250	1	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. nov. [JR22]
CHOR001A							14																																14	1	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. nov. [JR34]
CHOR001B								34																															34	1	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. nov. [JR37]
CHOR003																																					2		2	1	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. nov. [JR42]
TORT015			2																	34																	66		102	3	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. nov. [JR43]
CHOR008														9	3		186																						198	3	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. nov. [JR53]
CHOR002A			7																											42									49	2	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. nov. [JR54]
CHOR002B																														18									18	1	semi-concealed chewers	Lepidoptera	Choreutidae	Brenthia sp. nov. [JR66]
TORT012			15			9		2												2											55								83	5	semi-concealed chewers	Lepidoptera	Choreutidae	Choreutis basalis (Felder & Rogenhofer)
TORT006			6			4	27	3												7			6							2						2	8	16	81	10	semi-concealed chewers	Lepidoptera	Choreutidae	Choreutis lutescens (Felder & Rogenhofer)
TORT005			114			586	78	87												46			342							82	47					104	102	28	1616	11	semi-concealed chewers	Lepidoptera	Choreutidae	Choreutis sp. nr. anthorma Meyrick [TORT005]
TORT013																							2															13	15	2	semi-concealed chewers	Lepidoptera	Choreutidae	Choreutis sp. nr. chi Durrant
CHOR005																									109														109	1	semi-concealed chewers	Lepidoptera	Choreutidae	Litobrenthia sp. nr. albimaculana (Snellen)
TORT009			7																												6								13	2	semi-concealed chewers	Lepidoptera	Choreutidae	Saptha sp. cf. exanthista (Meyr.)
TORT009A																															6								6	1	semi-concealed chewers	Lepidoptera	Choreutidae	Saptha sp. nov. [JR2]
PYRA008																											12	23											35	2	semi-concealed chewers	Lepidoptera	Crambidae	Coelorhycidia nitidalis Hampson
CRAM057																																	5						5	1	semi-concealed chewers	Lepidoptera	Crambidae	Cotachena fuscimarginalis Hampson
CRAM014																				4											2					4			10	3	semi-concealed chewers	Lepidoptera	Crambidae	Cotachena histricalis (Walker)
CRAM030			6																																				6	1	semi-concealed chewers	Lepidoptera	Crambidae	Glyphodes caesalis Walker
CRAM003			29			44	12													34			20							3	54					8	90	13	307	10	semi-concealed chewers	Lepidoptera	Crambidae	Glyphodes margaritaria (Clerck)
TORT111		1093																																					1093	1	semi-concealed chewers	Lepidoptera	Crambidae	Glyphodes pseudocaesalis Kenrick
CRAM008																				5										2							61	3	71	4	semi-concealed chewers	Lepidoptera	Crambidae	Glyphodes sp. cf. stolalis Guenee
CRAM012			17			39	3	13												47			14							5	14		7			21	32	28	240	12	semi-concealed chewers	Lepidoptera	Crambidae	Haritalodes adjunctalis Leraut
CRAM042												2																											2	1	semi-concealed chewers	Lepidoptera	Crambidae	Herpetogramma exculta (Lucas)
CRAM029																																			2			2	4	2	semi-concealed chewers	Lepidoptera	Crambidae	Herpetogramma platycapna (Meyrick)
CRAM018																				4										2	6								12	3	semi-concealed chewers	Lepidoptera	Crambidae	Herpetogramma sp. bipunctalis (F.) complex 
CRAM036				9																																			9	1	semi-concealed chewers	Lepidoptera	Crambidae	Isocentris sp. [CRAM036]
PYRA001				286																																			286	1	semi-concealed chewers	Lepidoptera	Crambidae	Isocentris sp. nr. aequalis (Lederer)
PYRA007																											4	2											6	2	semi-concealed chewers	Lepidoptera	Crambidae	Meekiaria purpurea Hampson
CRAM041																										2	253	226							3				484	4	semi-concealed chewers	Lepidoptera	Crambidae	Meekiaria sp. [CRAM041]
CRAM049																												2											2	1	semi-concealed chewers	Lepidoptera	Crambidae	Meekiaria sp. nr. lignea Munroe
CRAM044																											21	55											76	2	semi-concealed chewers	Lepidoptera	Crambidae	Meekiaria sp. [CRAM044] 
CRAM033																																					2		2	1	semi-concealed chewers	Lepidoptera	Crambidae	Meroctena staintonii Lededer
CRAM054																																	76						76	1	semi-concealed chewers	Lepidoptera	Crambidae	Musotima vagilinealis (Hampson)
CRAM062					20																																		20	1	semi-concealed chewers	Lepidoptera	Crambidae	No adult reared [CRAM062]
CRAM026																							2													2			4	2	semi-concealed chewers	Lepidoptera	Crambidae	Notarcha sp. nr. quaternalis (Zeller)
CRAM013								2												3																			5	2	semi-concealed chewers	Lepidoptera	Crambidae	Orthospila sp. nr. orissusalis (Walker)
CRAM051																																	66						66	1	semi-concealed chewers	Lepidoptera	Crambidae	Orthospila sp. nr. orissusalis (Walker)
PYRA013																									10														10	1	semi-concealed chewers	Lepidoptera	Crambidae	Pagyda ochrealis Whalley and botydalis Snellen
CRAM039																						247																	247	1	semi-concealed chewers	Lepidoptera	Crambidae	Paradomina sp. nr. tabidialis & plagiferalis
CRAM055																																			3				3	1	semi-concealed chewers	Lepidoptera	Crambidae	Parotis sp. marginata (Hampson) complex
GEOM001			3			5														3														552	19				582	5	semi-concealed chewers	Lepidoptera	Crambidae	Parotis sp. nr. marginata (Hampson)
CRAM037																																			343				343	1	semi-concealed chewers	Lepidoptera	Crambidae	Parotis suralis (Lederer)
CRAM011			3																																				3	1	semi-concealed chewers	Lepidoptera	Crambidae	Pleuroptya sabinusalis (Walker)
CRAM058																																	3						3	1	semi-concealed chewers	Lepidoptera	Crambidae	Prooedema inscisalis (Walker)
CRAM038																						32																	32	1	semi-concealed chewers	Lepidoptera	Crambidae	Prophantis adusta Inoue
CRAM045												113																											113	1	semi-concealed chewers	Lepidoptera	Crambidae	Protonoceres eucosma (Turner)
CRAM034																				3		3									2				17				25	4	semi-concealed chewers	Lepidoptera	Crambidae	Pycnarmon argenticincta Hampson
CRAM023																				2					234														236	2	semi-concealed chewers	Lepidoptera	Crambidae	Pycnarmon jaguaralis papualis Munroe
CRAM010																				2					3														5	2	semi-concealed chewers	Lepidoptera	Crambidae	Pycnarmon sp. nr. dryocentra Meyrick
CRAM047																																			4				4	1	semi-concealed chewers	Lepidoptera	Crambidae	Syllepte melangnatha (Hampson)
CRAM056																									27														27	1	semi-concealed chewers	Lepidoptera	Crambidae	Syllepte planeflava Hampson
CRAM020																																					2		2	1	semi-concealed chewers	Lepidoptera	Crambidae	Syntomodera sp. nr. thoasalis (Walker)
CRAM005						26	7	8												8			72							17	5					53	16	2	214	10	semi-concealed chewers	Lepidoptera	Crambidae	Talanga deliciosa (Butler)
CRAM002			3			13	239	6												6			6							4	8					121	4	56	466	11	semi-concealed chewers	Lepidoptera	Crambidae	Talanga excelsalis (Walker)
CRAM009						14	19	3																												4		15	55	5	semi-concealed chewers	Lepidoptera	Crambidae	Talanga polyzonalis (Hampson)
CRAM006			2			3	16	4												3			9								2					3	5	14	61	10	semi-concealed chewers	Lepidoptera	Crambidae	Talanga sexpunctalis (Moore)
XXXX068														61	285	7	57	5																					415	5	semi-concealed chewers	Lepidoptera	Gelechiidae	Dichomeris sp. [XXXX068]
