"V1" "V2" "V3" "V4"
"1" 122 12866 3.14714538929887 4.12681604940652
"2" 121 12771.48 3.15276231801854 4.10546386374558
"3" 120 12671.15 3.14806335765177 4.07371680324286
"4" 119 12559.29 3.14457887589505 4.04770266049782
"5" 118 12437.34 3.14640264234222 4.02976817181459
"6" 117 12308.89 3.14725351379369 4.00707587608469
"7" 116 12186.64 3.15087120065495 3.99399272939828
"8" 115 12070.99 3.15586508477618 3.96466937559954
"9" 114 12001.8 3.15971258590182 3.94165329482525
"10" 113 11892.02 3.16081488227422 3.92334981493695
"11" 112 11768.56 3.1603516377229 3.90068123613793
"12" 111 11675.44 3.16968428763632 3.88242026958915
"13" 110 11563.81 3.16652346489673 3.85243311833707
"14" 109 11435.04 3.16886594135883 3.83253002697607
"15" 108 11270.33 3.16418434425099 3.81356366558046
"16" 107 11190.88 3.16921529565348 3.78426857957388
"17" 106 11112.75 3.17555426604112 3.76229175816836
"18" 105 10964 3.16350010417391 3.73924798455013
"19" 104 10857.58 3.15031057307628 3.71307156001106
"20" 103 10737.44 3.1414767136967 3.69197666915659
"21" 102 10651.87 3.14606539664252 3.66956334015499
"22" 101 10513.47 3.16188472023904 3.66382195131665
"23" 100 10440.41 3.16317171654731 3.63281486281962
"24" 99 10337.36 3.16549879914233 3.62138194646449
"25" 98 10270.15 3.16382974849167 3.58567385046897
"26" 97 10157.12 3.16702184943328 3.56706537454285
"27" 96 10041.37 3.16607988482882 3.54402203683427
"28" 95 9911.6 3.15919018289749 3.52373456568908
"29" 94 9781.76 3.13713425663644 3.4906016592832
"30" 93 9691.94 3.14933010996341 3.4723275927629
"31" 92 9579.91 3.15142228657836 3.45100142063789
"32" 91 9456.61 3.15039367904453 3.41525848775631
"33" 90 9373.01 3.15751949275442 3.39322192238247
"34" 89 9267.67 3.15384783690578 3.36931956322869
"35" 88 9176.53 3.15067708628755 3.34663972399982
"36" 87 9057.17 3.15381207768297 3.32863170463369
"37" 86 8977.78 3.16008134173687 3.31548982609745
"38" 85 8833.23 3.14796248780794 3.28279959655356
"39" 84 8733.75 3.15432209963707 3.26291424645085
"40" 83 8611.09 3.15967303332548 3.24648550465089
"41" 82 8461.18 3.14849336428658 3.22777143646778
"42" 81 8294.22 3.12636645679756 3.20823969188844
