"V1" "V2" "V3" "V4"
"1" 38 19272 12.2658022310104 14.860982132006
"2" 37 18743.45 12.2716658754235 14.4878198628351
"3" 36 18214.52 12.2710144569059 14.1135589964517
"4" 35 17707.9 12.2753324631981 13.7346356167078
"5" 34 17259.59 12.2628814584352 13.3831358383558
"6" 33 16724.58 12.2667847507304 12.9929825004835
"7" 32 16269.93 12.2755946964918 12.6341202887858
"8" 31 15791.02 12.279361161917 12.2894165744104
"9" 30 15307.95 12.2575879285447 11.9207208331822
"10" 29 14788.42 12.2423645285405 11.5669771200424
"11" 28 14276.86 12.2659778579058 11.2124673771421
"12" 27 13747.17 12.2584063134204 10.8229506262415
"13" 26 13264.3 12.2649918435229 10.4476176281221
"14" 25 12777.75 12.2526464651103 10.0995967332797
"15" 24 12274.71 12.2473731081825 9.74036311854331
"16" 23 11750.24 12.2536830560027 9.34490571699177
"17" 22 11203.59 12.2795960217306 8.98553886658301
"18" 21 10725.26 12.3150469388062 8.58577046537441
"19" 20 10225.58 12.3279136151856 8.21010844789885
"20" 19 9698.63 12.2721131236368 7.80981505984424
"21" 18 9188.11 12.3023947079933 7.44435605104913
"22" 17 8665.75 12.2781994869516 7.07548878229283
"23" 16 8152.94 12.2707650404816 6.71209694163721
"24" 15 7635.05 12.2869212061349 6.33659386470572
"25" 14 7141.4 12.2977058460199 5.96767131917056
"26" 13 6636.45 12.3134504364303 5.57565280679678
"27" 12 6120.63 12.3540795441187 5.18235744823728
"28" 11 5613.5 12.3574934586389 4.81028597374152
"29" 10 5116.65 12.3814538477203 4.43151171566078
"30" 9 4580.85 12.4470163328282 4.05804224391295
"31" 8 4079.62 12.3912795036479 3.69814098174378
"32" 7 3559.35 12.3784658475656 3.31187707334876
"33" 6 3076.16 12.3585723727939 2.93444775975439
"34" 5 2585.55 12.3831873660584 2.56925700170856
"35" 4 2050.5 12.2113918725246 2.19862949329394
"36" 3 1515.06 12.2106351792462 1.82014385950711
"37" 2 1019.21 12.4140127411918 1.3744866006757
"38" 0 0 0 0
