"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"34" 1749 7875 7875 24 31.87 28 42.93 30 51.92 1 0.966597225273807 1.10791895006249 1.26587470084696 1.40366672206374 1.62198781141729 7 8 8 9 9 10
"35" 1802 7822 7822 24 31.74 28 42.49 30 51.44 1 0.966945626412578 1.10865018304042 1.26324214442664 1.36746092137136 1.61596299756235 7 8 8 8.97 9 10
"36" 1855 7769 7769 24 31.59 28 42.09 30 51.01 1 0.967357388713436 1.10939139293888 1.26100126887175 1.30939849879689 1.60941943293634 7 7.99 8 8.87 9 10
"37" 1908 7716 7716 24 31.48 27 41.69 29 50.53 1 0.967880064280158 1.11014278534761 1.25841914318286 1.30109925260767 1.60291521700726 7 7.98 8 8.67 9 10
"38" 1961 7663 7663 24 31.33 27 41.31 29 50.11 1 0.968291827726889 1.11090457154406 1.25597059749767 1.3031817608144 1.5967253872415 7 7.9 8 8.37 9 10
"39" 2014 7610 7610 23 31.1 26 40.97 28 49.64 0.9991469435207 0.968766744492542 1.11167696869148 1.25330398791374 1.29632812974665 1.59038262922321 7 7.72 8 8.17 9 10
"40" 2067 7557 7557 23 30.91 26 40.61 28 49.15 0.995567790722495 0.969224413255436 1.11246020004527 1.25078579695154 1.28087508748688 1.58359687704248 7 7.44 8 8.05 9 10
"41" 2120 7504 7504 23 30.74 25 40.26 27 48.66 0.994501842665974 0.969698361525689 1.11325449516819 1.24814017823251 1.25812014419324 1.57710055989953 7 7.21 7 8.01 8 10
"42" 2173 7451 7451 23 30.53 25 39.88 27 48.03 0.99279252898954 0.970203026062303 1.11406009015463 1.24547871397377 1.2327462196128 1.57068084191231 7 7.08 7 8 8 10
"43" 2226 7398 7398 23 30.35 25 39.45 27 47.44 0.993900208903992 0.9706291645317 1.11487722786458 1.24311994517357 1.19607782504888 1.56422216780711 7 7.03 7 8 8 9.98
"44" 2279 7345 7345 23 30.2 24 39.05 26 46.92 0.991456924422939 0.971040395006528 1.11570615816775 1.24068738808904 1.16805516628496 1.5581185007551 7 7 7 8 8 9.88
"45" 2332 7292 7292 23 30.02 24 38.75 26 46.42 0.987389375829035 0.97131861339173 1.11654713819832 1.23819545186293 1.15701690970856 1.55168790825894 7 7 7 8 8 9.65
"46" 2385 7239 7239 23 29.88 24 38.43 26 45.96 0.993358456202659 0.971613175600383 1.11740043262082 1.23576563255819 1.13879552252033 1.54535353224809 7 7 7 8 8 9.3
"47" 2438 7186 7186 23 29.71 23 38.19 25 45.49 0.994630505877382 0.971758386683983 1.11826631390789 1.23344942638555 1.13385586268642 1.53895271325327 7 7 7 8 8 9.12
"48" 2491 7133 7133 23 29.56 23 37.88 25 44.97 0.994581376746716 0.971981049607068 1.11914506263033 1.23101696219904 1.13485044571213 1.53247903912522 7 7 7 8 8 9.01
"49" 2544 7080 7080 23 29.47 23 37.68 25 44.62 0.994489937982106 0.972047884243474 1.12003696776019 1.22876078512747 1.13585991938766 1.52649475083756 6 7 7 8 8 9
"50" 2597 7027 7027 22 29.3 22 37.38 24 44.19 0.994431227314853 0.972176333350889 1.12094232698764 1.22615876102879 1.13688462064389 1.52004526632451 6 7 7 8 8 9
"51" 2650 6974 6974 22 29.24 22 37.22 24 43.91 0.994460954736062 0.972205151335128 1.12186144705221 1.22377438925469 1.13792489665395 1.51365031468686 6 7 7 8 7 9
"52" 2703 6921 6921 22 29.19 22 37.03 24 43.57 0.994378811665423 0.972171326176086 1.12279464408931 1.22138307372689 1.13898110522535 1.50745620483428 6 7 7 8 7 9
"53" 2756 6868 6868 21 29.13 21 36.88 23 43.33 0.994219261963184 0.9722520024634 1.12374224399274 1.21875568983978 1.14005361521034 1.50149552004536 6 7 6 8 7 9
"54" 2809 6815 6815 21 29.11 21 36.73 23 43.11 0.994174602917013 0.972400898192814 1.12470458279415 1.21608009836633 1.14114280693538 1.49513061153445 6 7 6 8 7 9
"55" 2862 6762 6762 21 29.05 21 36.55 23 42.86 0.994065675228047 0.972407156649403 1.12568200706036 1.21346846209899 1.14224907265079 1.48833778491802 6 7 6 8 7 9
"56" 2915 6709 6709 20 28.97 20 36.41 22 42.65 0.998016911568917 0.972411373304919 1.11966530107143 1.21070929797986 1.14337281700173 1.48182559318227 6 7 6 8 7 9
"57" 2968 6656 6656 20 28.84 20 36.2 22 42.37 1 0.972567561953947 1.10774689487814 1.20776698008037 1.14451445752173 1.4751527647091 6 7 6 7.95 7 8.99
"58" 3021 6603 6603 20 28.74 20 36 22 42.13 1 0.972673403591327 1.0888923996002 1.20515889780697 1.14567442514987 1.46874218672682 6 7 6 7.84 7 8.92
"59" 3074 6550 6550 19 28.66 20 35.74 21 41.8 1 0.972839138787689 1.07846853003854 1.20223808442837 1.14685316477322 1.46169600270674 6 7 6 7.65 7 8.74
"60" 3127 6497 6497 19 28.58 20 35.65 21 41.63 1 0.973270266417734 1.07910864579843 1.1989909976896 1.14805113579569 1.45479370729412 6 7 6 7.49 7 8.46
"61" 3180 6444 6444 19 28.5 20 35.5 21 41.44 1 0.973584239299454 1.07975929108511 1.19589266488625 1.14926881273504 1.44740330584155 6 6.98 6 7.26 7 8.17
"62" 3233 6391 6391 18 28.45 19 35.39 20 41.28 1 0.973931627028815 1.08042072785987 1.19276191407073 1.15050668584957 1.44012980135615 6 6.95 6 7.12 6 8.04
"63" 3286 6338 6338 18 28.4 19 35.27 20 41.12 1 0.974446121342697 1.08109322684639 1.1894948712319 1.15176526179625 1.43315920349801 6 6.93 6 7.02 6 8.01
"64" 3339 6285 6285 18 28.35 19 35.15 20 40.97 1 0.974876090548099 1.08177706790015 1.18683220499833 1.15304506432214 1.42578927479664 6 6.81 6 7.01 6 8.01
"65" 3392 6232 6232 18 28.3 19 35.02 20 40.79 1 0.975295936974569 1.08247254039673 1.18389830325566 1.15434663499111 1.41833590020551 5 6.64 6 7.01 6 8
"66" 3445 6179 6179 17 28.23 18 34.87 19 40.61 1 0.975886172199177 1.08317994364014 1.18120278427502 1.15567053394799 1.41114106220516 5 6.42 5 7 6 8
"67" 3498 6126 6126 17 28.17 18 34.72 19 40.43 1 0.976396934265048 1.08389958729227 1.1781842614665 1.15701734072227 1.4038239146654 5 6.28 5 7 6 8
"68" 3551 6073 6073 17 28.07 18 34.47 19 40.1 1 0.977164902991743 1.08463179182487 1.17472546601219 1.15838765507404 1.39638290521271 5 6.13 5 7 6 8
"69" 3604 6020 6020 17 27.98 18 34.28 19 39.83 1 0.977904127572781 1.08537688899542 1.17144785772349 1.15978209788449 1.38856632805284 5 6.06 5 7 6 8
"70" 3657 5967 5967 16 27.96 17 34.12 18 39.61 1 0.978416176264045 1.08613522234832 1.16862633161609 1.15953782423781 1.38080534145242 5 6.01 5 7 6 7.99
"71" 3710 5914 5914 16 27.9 17 33.93 18 39.35 0.998585204847253 0.979077024983127 1.08690714774305 1.16557589575665 1.14960075976831 1.37348848942722 5 6 5 7 6 7.97
"72" 3763 5861 5861 16 27.82 17 33.73 18 39.04 0.995550026718072 0.97980698914665 1.08769303391101 1.16228085700703 1.13616348682446 1.36601580297113 5 6 5 7 6 7.79
"73" 3816 5808 5808 16 27.76 17 33.52 18 38.76 0.988345114244647 0.980438352191894 1.08849326304277 1.15972423253601 1.11761257706288 1.35902051017035 5 6 5 7 5 7.6
"74" 3869 5755 5755 16 27.71 17 33.29 18 38.48 0.984925753666404 0.981073288918744 1.08930823140789 1.15681840628132 1.09029748784002 1.35244291655902 5 6 5 7 5 7.26
"75" 3922 5702 5702 16 27.54 16 32.99 17 38.1 0.984993735241484 0.981770303389284 1.09013835000919 1.154107431001 1.08587361280617 1.34576769000646 5 6 5 7 5 7.08
"76" 3975 5649 5649 16 27.48 16 32.79 17 37.84 0.984802786209048 0.982573959517366 1.09098404527393 1.15125462018002 1.08667929548961 1.33892209575648 5 6 5 6.92 5 7.02
"77" 4028 5596 5596 16 27.37 16 32.62 17 37.6 0.984585968184555 0.9833421297065 1.09184575978421 1.14846007004135 1.08750023949621 1.33194554591061 5 6 5 6.7 5 7.01
"78" 4081 5543 5543 16 27.28 16 32.37 17 37.29 0.984319184365954 0.984157007484766 1.09272395304933 1.14570764521951 1.08833688259441 1.32548003267941 5 6 5 6.5 5 7
"79" 4134 5490 5490 15 27.16 15 32.04 16 36.89 0.991799955869938 0.984854535551737 1.09361910232285 1.14282405703374 1.08254067299379 1.31876165075464 5 6 5 6.22 5 7
"80" 4187 5437 5437 15 27 15 31.79 16 36.52 1 0.985818389804686 1.09453170346743 1.13974653808027 1.06911035208431 1.3121116027308 5 6 5 6.06 5 7
"81" 4240 5384 5384 15 26.85 15 31.57 16 36.19 1 0.986522854414814 1.09546227187081 1.13706272673458 1.05130844504809 1.30555387768343 5 6 5 6.02 5 7
"82" 4293 5331 5331 15 26.67 15 31.28 16 35.8 1 0.987296972368437 1.09641134341632 1.13451058522063 1.02712677735368 1.29878900552965 5 6 4 6 5 7
"83" 4346 5278 5278 15 26.57 14 31.02 15 35.46 1 0.988122674070568 1.09737947551202 1.13191370873444 1 1.29223241538234 5 6 4 6 5 6.98
"84" 4399 5225 5225 15 26.47 14 30.79 15 35.14 1 0.988836826431296 1.09836724818228 1.12915314513003 1 1.28547582804342 5 6 4 6 5 6.9
"85" 4452 5172 5172 15 26.28 14 30.59 15 34.82 1 0.989534491243786 1.09937526522669 1.1262989004374 1 1.27903406558865 4 6 4 6 4 6.73
"86" 4505 5119 5119 15 26.16 14 30.4 15 34.53 1 0.990276124117246 1.10040415545076 1.12338828674364 1 1.27260947400301 4 6 4 6 4 6.39
"87" 4558 5066 5066 15 25.96 14 30.1 15 34.13 1 0.99083812231815 1.10145457397403 1.12018260834288 1 1.26564737082267 4 6 4 6 4 6.16
"88" 4611 5013 5013 14 25.76 13 29.9 14 33.8 1 0.991561644747204 1.10252720362107 1.11730692646463 1 1.25867652561622 4 5.99 4 6 4 6.04
"89" 4664 4960 4960 14 25.57 13 29.67 14 33.4 1 0.992234007398777 1.1036227564017 1.11449236457905 1 1.25157715831609 4 5.99 4 6 4 6.01
"90" 4717 4907 4907 14 25.43 13 29.38 14 33.01 1 0.992868775082036 1.10474197508711 1.11193826562599 1 1.24458744716533 4 5.95 4 6 4 6
"91" 4770 4854 4854 14 25.25 13 29.12 14 32.63 1 0.9935884667847 1.10588563488925 1.10918725120079 1 1.23820578508594 4 5.88 4 5.96 4 6
"92" 4823 4801 4801 14 25.12 13 28.93 14 32.31 1 0.994277808954414 1.10705454525149 1.10671080289406 1 1.23097469968576 4 5.75 4 5.82 4 6
"93" 4876 4748 4748 13 24.97 12 28.67 13 31.99 1 0.994866578096206 1.10824955175915 1.10419965146037 1 1.2243081550592 4 5.53 4 5.59 4 6
"94" 4929 4695 4695 13 24.8 12 28.36 13 31.5 1 0.995428350036123 1.10947153817943 1.10159705916198 1 1.21736992272297 4 5.27 4 5.37 4 6
