"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"33" 32 924 702.51 68 65.16 89 89 154 136.78 0.871177376383019 0.871305427042393 1.59030842049926 1.56795718336188 2.52626473093569 2.27156192431867 8 6.7 11 8.62 14 11.14
"34" 33 923 695.28 67 64.69 88 88 153 135.27 0.871177376383019 0.871832817905287 1.59094797458431 1.56782177330199 2.52791832219347 2.25771375472874 7 6.67 11 8.43 14 10.99
"35" 34 922 685.61 67 64.2 87 87 152 133.55 0.87127570139328 0.872225090053574 1.59158891598842 1.56562470763965 2.51327653409537 2.24449326232107 8 6.57 11 8.35 14 10.82
"36" 35 921 674.85 67 63.8 86 86 151 132.14 0.87127570139328 0.871916555146664 1.59223124923053 1.56802756897186 2.49967354076494 2.23990186354469 8 6.53 11 8.28 14 10.7
"37" 36 919 669.24 67 63.53 85 85 150 130.73 0.871660743475557 0.872392323400338 1.59352010940296 1.56935965588005 2.48008608065674 2.22345532670129 8 6.52 11 8.21 14 10.64
"38" 37 917 662.61 66 63.15 84 84 148 129.26 0.871321260863711 0.872314531804254 1.59263356656632 1.5708744484868 2.47251734886301 2.20618159519282 7 6.5 11 8.07 14 10.47
"39" 38 915 655.41 66 62.75 83 83 147 127.73 0.870764949707289 0.872577681018482 1.59392894048232 1.57111815804713 2.46371870160676 2.18768771022068 7 6.43 11 7.94 14 10.35
"40" 39 913 647.36 66 62.37 82 82 146 126.16 0.873804289358249 0.873137520326915 1.59522998964 1.57093227953365 2.45117922630767 2.17006709618854 7 6.42 11 7.86 14 10.21
"41" 40 911 639.75 65 61.98 81 81 144 124.57 0.874292677817311 0.873564731906735 1.59434136173581 1.57052623261078 2.45216974052569 2.15758197634453 7 6.37 11 7.83 14 10.17
"42" 41 909 628.97 64 61.46 80 80 143 122.85 0.874081542020397 0.87393018172136 1.5956490434998 1.56893393657814 2.45536483346414 2.14157413983073 7 6.36 11 7.72 14 10.04
"43" 42 907 622.3 64 61.16 79 79 141 121.32 0.874711546887206 0.874890904102065 1.59475742066298 1.5694873245194 2.43277621485976 2.1217764217431 7 6.33 11 7.62 14 9.91
"44" 43 905 616.91 64 60.78 78 78 140 119.89 0.874151999379708 0.875352608697405 1.59607180170312 1.57074558078793 2.42715085224111 2.10876027492525 7 6.33 11 7.52 14 9.79
