"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"32" 31 9472 6356.78 33 29.46 48 47.91 60 60 0.960942818946166 0.967241190099313 1.34370326774812 1.26208594676406 1.79758485680389 1.61283787149036 9 6.11 10 7 12 8.12
"33" 32 9462 6256.96 33 29.26 47 47.18 59 59 0.960915807251514 0.967871326517027 1.34406651364513 1.25739851035553 1.78938621557843 1.60406391602275 9 6.06 10 6.91 12 7.95
"34" 33 9449 6132.12 33 28.98 47 46.51 58 58 0.962631705138311 0.969178339440396 1.34018067840181 1.25016931983108 1.78531332629922 1.59749507444838 8 5.89 10 6.81 12 7.79
"35" 34 9433 6030.33 33 28.75 47 45.81 57 57 0.964186908945443 0.970358010529802 1.32541173487556 1.2456291081587 1.78046965208926 1.58083384154968 8 5.82 10 6.74 12 7.66
"36" 35 9416 5894.64 33 28.49 46 45.02 56 56 0.964132443858288 0.97026040406071 1.32599924544193 1.24529893168073 1.77349868518936 1.5703825250558 8 5.7 10 6.6 12 7.47
"37" 36 9397 5782.7 33 28.27 46 44.29 55 55 0.96653092464389 0.970923267463092 1.31197406733783 1.24290416978219 1.76948363290373 1.55858890081972 8 5.59 10 6.49 12 7.31
"38" 37 9374 5663.27 33 28 45 43.56 54 54 0.966842792709901 0.97127957276963 1.31273952536522 1.24142624612543 1.76124366275744 1.55453724445615 8 5.5 10 6.36 12 7.19
"39" 38 9350 5576.39 32 27.79 44 42.88 53 53 0.966538748110402 0.971860076120779 1.31354227922712 1.2390887919151 1.76319765718591 1.54333878479356 8 5.42 10 6.25 12 7.06
"40" 39 9323 5462.05 32 27.58 43 42.18 52 52 0.966474186982566 0.973124296215606 1.31445031757735 1.23356431278875 1.7498568164009 1.52993245881807 8 5.36 10 6.12 12 6.93
"41" 40 9292 5334.56 31 27.32 42 41.53 51 51 0.966156218304938 0.973641817511239 1.31549938772854 1.23010207020298 1.75235849110047 1.52896509995851 8 5.26 10 6 12 6.85
"42" 41 9259 5227.25 31 27.1 41 40.86 50 50 0.966346206493498 0.974938905402746 1.3166238590316 1.22371100526341 1.74220229026107 1.51530934364676 8 5.14 10 5.94 12 6.71
"43" 42 9226 5117.81 31 26.9 40 40.15 49 49 0.966236278121166 0.975801676282913 1.31775637446061 1.22262785655695 1.73269025865334 1.50272820123696 8 5.07 10 5.86 12 6.58
"44" 43 9191 4994.59 31 26.66 39 39.41 48 48 0.965438577902897 0.975915551033286 1.31896641396732 1.22060334017904 1.72123394809885 1.49575228550175 8 4.94 9 5.79 12 6.43
"45" 44 9152 4915.31 31 26.46 39 38.74 47 47 0.968014302068833 0.977448307766073 1.30018307320548 1.21267556465308 1.69135743112739 1.47855434476946 8 4.95 9 5.66 12 6.31
"46" 45 9113 4810.02 30 26.23 39 38.03 46 46 0.968234609140808 0.978778271021739 1.28962475293544 1.20356013188602 1.69431616478414 1.46927075827014 8 4.84 9 5.57 12 6.13
"47" 46 9071 4698.51 29 25.94 38 37.3 45 45 0.967942839935704 0.980776062769384 1.29096575609091 1.1977358958544 1.69753094583595 1.4607461929576 8 4.72 9 5.4 11 6.01
"48" 47 9024 4596.45 29 25.6 37 36.54 44 44 0.971304332703826 0.981030710242713 1.29248120273722 1.19529978719604 1.68751925917303 1.45272890147694 8 4.62 9 5.28 11 5.89
"49" 48 8976 4483.68 29 25.31 37 35.88 43 43 0.973005641202374 0.982094357770774 1.27933945862472 1.18725302597216 1.6612906472661 1.43892482568241 8 4.52 9 5.19 11 5.74
"50" 49 8927 4386.81 29 24.98 36 35.26 42 42 0.972305890716554 0.983435561756399 1.28087274343177 1.1777318687855 1.64783708706816 1.43171571895425 8 4.39 9 5.08 11 5.59
"51" 50 8867 4289.21 28 24.59 35 34.58 41 41 0.970767915098086 0.983864864142258 1.28277331460646 1.17112523704258 1.65222078225527 1.4275610156262 8 4.32 9 4.99 11 5.48
"52" 51 8796 4193.67 28 24.32 35 33.89 40 40 0.976081629949264 0.985196024609712 1.21985894725598 1.16713740821095 1.63149979631376 1.41069373556522 8 4.27 9 4.94 11 5.34
"53" 52 8724 4089.48 28 24.02 34 33.18 39 39 0.976369932445799 0.985857258498883 1.22167346401463 1.16174399533096 1.54373667551263 1.40324851643828 8 4.17 9 4.8 11 5.23
"54" 53 8649 3969.59 28 23.66 33 32.42 38 38 0.97575857772571 0.985570421572138 1.22359571049412 1.16036956503878 1.50836844581135 1.39320196703232 8 4.05 9 4.58 11 5.04
"55" 54 8567 3864.86 27 23.3 32 31.66 37 37 0.97488480214282 0.986418342063358 1.22573588187973 1.15581507149482 1.51323435132746 1.38786384073856 8 3.97 9 4.51 10 4.89
"56" 55 8480 3740.96 27 22.89 31 30.88 36 36 0.974039199756356 0.988210149208503 1.22805180425279 1.15113429246753 1.46564483161272 1.37203432031475 8 3.89 9 4.36 10 4.76
"57" 56 8391 3638.23 27 22.47 30 30.11 35 35 0.972793205948087 0.988288220511452 1.23047065904703 1.15118475012835 1.44631005142348 1.36264332852367 8 3.84 8 4.28 10 4.62
"58" 57 8302 3515.23 26 22.11 30 29.39 34 34 0.982145336022433 0.989828506662287 1.20112244818745 1.14353739423202 1.45109463279866 1.34966257783578 7 3.71 8 4.13 10 4.42
"59" 58 8199 3432.63 25 21.73 29 28.56 33 33 0.980881459049968 0.989793693636459 1.20364905047593 1.1434609707689 1.45676151256183 1.34181361229292 7 3.62 8 3.99 10 4.26
"60" 59 8094 3343.06 25 21.29 28 27.71 32 32 0.982849178495067 0.990980185261789 1.20629090250212 1.14076974090054 1.43052833776014 1.33156850712068 7 3.52 8 3.9 10 4.16
"61" 60 7985 3244.87 24 20.86 28 26.91 31 31 0.994886630769587 0.991435176090444 1.14280350139338 1.13824611904889 1.43640530567697 1.32092012204656 7 3.38 8 3.79 9 4.04
"62" 61 7875 3142.57 24 20.36 28 26.1 30 30 1 0.991400114912164 1.10791895006249 1.13624495348506 1.40366672206374 1.31192396126077 7 3.35 8 3.63 9 3.96
"63" 62 7764 3057.28 24 19.92 27 25.32 29 29 1 0.992263167496289 1.1094618407705 1.12971280881607 1.29923774254518 1.30023203839706 7 3.24 8 3.53 9 3.77
"64" 63 7645 2916.52 23 19.51 26 24.48 28 28 1 0.992329069461307 1.11116569414547 1.1296591636402 1.30389559622247 1.28539604074559 7 3.15 8 3.42 9 3.63
"65" 64 7521 2827.33 23 19.1 25 23.6 27 27 0.994974115992335 0.9920899961217 1.11299850176069 1.12868760826131 1.26471165166342 1.27528238334702 7 2.98 7 3.23 8 3.46
"66" 65 7377 2705.01 23 18.6 24 22.8 26 26 0.994907139817962 0.992036912032716 1.11520424722003 1.12472957715784 1.17269420270524 1.26524306980738 7 2.88 7 3.1 8 3.31
"67" 66 7229 2599.17 23 18.09 23 22 25 25 0.994673340533955 0.992337447349997 1.11756283465792 1.12326231474798 1.13305965268566 1.25744882118892 7 2.75 7 2.96 8 3.16
"68" 67 7076 2501.41 22 17.59 22 21.25 24 24 0.99448345303212 0.992329670108987 1.12010482359273 1.11643502181344 1.13593671979432 1.24715814150022 6 2.6 7 2.83 8 3.02
